63032
80
1748014345
 0 1 1 112 1113  5 (D 0,1,1) (S 348,30,31) (S 27,25,25) (S 62,25,27) (D 0,1,1)
 0 1 2 119 1119  11 (D 0,1,1) (S 245,13,14) (S 16,14,14) (S 89,14,13) (S 154,13,16) (S 78,16,15) (S 163,15,17) (S 189,17,18) (S 306,18,17) (S 221,17,13) (D 0,1,1)
 0 1 3 118 1263  5 (D 0,1,1) (S 139,29,28) (S 222,23,21) (S 304,21,20) (D 0,1,1)
 0 1 4 118 1071  5 (D 0,1,1) (S 110,25,26) (S 237,26,31) (S 129,30,28) (D 0,1,1)
 0 1 5 118 1113  5 (D 0,1,1) (S 29,30,30) (S 92,31,30) (S 168,29,33) (D 0,1,1)
 0 1 6 116 1234  6 (D 0,1,1) (S 123,12,20) (S 223,20,21) (S 233,12,13) (S 352,13,12) (D 0,1,1)
 0 1 7 112 1186  7 (D 0,1,1) (S 211,8,6) (S 188,6,5) (S 362,5,6) (S 184,11,12) (S 410,12,11) (D 0,1,1)
 0 1 8 111 1089  8 (D 0,1,1) (S 51,6,7) (S 157,7,6) (S 11,6,6) (S 351,6,8) (S 14,11,11) (S 285,11,33) (D 0,1,1)
 0 1 9 119 1086  5 (D 0,1,1) (S 213,48,139) (S 17,27,27) (S 294,27,11) (D 0,1,1)
 0 1 10 114 982  6 (D 0,1,1) (S 106,20,22) (S 4,22,22) (S 40,22,20) (S 392,33,139) (D 0,1,1)
 0 1 11 118 733  3 (D 0,1,1) (S 357,34,35) (D 0,1,1)
 0 1 12 120 1164  10 (D 0,1,1) (S 254,59,60) (S 310,60,45) (S 346,13,17) (S 295,19,10) (S 2,10,10) (S 264,10,9) (S 308,9,10) (S 42,10,15) (D 0,1,1)
 0 1 13 120 842  4 (D 0,1,1) (S 15,36,36) (S 88,41,47) (D 0,1,1)
 0 1 14 117 806  8 (D 0,1,1) (S 116,40,39) (S 162,39,38) (S 57,38,36) (S 140,36,35) (S 23,35,35) (S 298,35,37) (D 0,1,1)
 0 1 15 120 919  6 (D 0,1,1) (S 90,73,44) (S 145,139,34) (S 318,34,45) (S 36,44,43) (D 0,1,1)
 0 1 16 117 861  8 (D 0,1,1) (S 265,59,61) (S 50,61,49) (S 150,49,140) (S 130,55,56) (S 231,56,65) (S 182,65,64) (D 0,1,1)
 0 1 17 109 623  2 (D 0,1,1)  (D 0,1,1)
 0 1 18 112 1064  5 (D 0,1,1) (S 278,77,46) (S 205,11,8) (S 401,8,11) (D 0,1,1)
 0 1 19 109 1085  6 (D 0,1,1) (S 63,28,27) (S 339,27,28) (S 20,21,21) (S 286,43,46) (D 0,1,1)
 0 1 20 120 1017  5 (D 0,1,1) (S 277,8,9) (S 344,42,47) (S 32,47,46) (D 0,1,1)
 0 1 21 119 967  9 (D 0,1,1) (S 378,63,64) (S 315,140,49) (S 370,49,48) (S 284,48,50) (S 73,50,51) (S 147,51,50) (S 224,50,48) (D 0,1,1)
 0 1 22 119 943  6 (D 0,1,1) (S 190,34,139) (S 316,139,48) (S 241,48,49) (S 176,58,70) (D 0,1,1)
 0 1 23 119 664  4 (D 0,1,1) (S 6,109,109) (S 86,109,108) (D 0,1,1)
 0 1 24 120 1232  7 (D 0,1,1) (S 209,78,77) (S 155,20,24) (S 340,24,23) (S 18,28,28) (S 54,28,29) (D 0,1,1)
 0 1 25 117 1213  8 (D 0,1,1) (S 393,45,34) (S 371,31,26) (S 79,26,23) (S 144,23,24) (S 402,24,25) (S 194,77,78) (D 0,1,1)
 0 1 26 110 754  7 (D 0,1,1) (S 109,77,76) (S 359,76,75) (S 80,75,71) (S 75,71,70) (S 207,70,69) (D 0,1,1)
