756
11
1748014341
 0 1 1 17 25  3 (D 0,1,1) (S 13,30,30) (D 0,1,1)
 0 1 2 48 73  5 (D 0,1,1) (S 18,7,7) (S 46,7,8) (S 28,8,9) (D 0,1,1)
 0 1 3 49 101  8 (D 0,1,1) (S 42,5,6) (S 52,12,18) (S 3,20,20) (S 26,22,21) (S 10,21,21) (S 35,4,9) (D 0,1,1)
 0 1 4 37 47  5 (D 0,1,1) (S 23,29,27) (S 9,26,26) (S 14,28,28) (D 0,1,1)
 0 1 5 48 85  11 (D 0,1,1) (S 51,31,5) (S 54,10,14) (S 57,14,15) (S 32,15,16) (S 17,16,16) (S 45,15,14) (S 44,14,10) (S 48,10,16) (S 12,17,17) (D 0,1,1)
 0 1 6 39 69  9 (D 0,1,1) (S 29,8,12) (S 19,12,12) (S 37,12,11) (S 1,11,11) (S 53,11,6) (S 11,5,5) (S 39,5,31) (D 0,1,1)
 0 1 7 44 70  7 (D 0,1,1) (S 21,31,31) (S 33,27,24) (S 4,23,23) (S 24,23,25) (S 55,25,28) (D 0,1,1)
 0 1 8 40 60  6 (D 0,1,1) (S 41,2,3) (S 27,3,9) (S 7,13,13) (S 22,4,4) (D 0,1,1)
 0 1 9 44 68  8 (D 0,1,1) (S 5,10,10) (S 31,10,11) (S 8,6,6) (S 30,6,31) (S 25,31,29) (S 16,29,29) (D 0,1,1)
 0 1 10 49 86  7 (D 0,1,1) (S 58,1,2) (S 34,9,13) (S 2,18,18) (S 36,18,19) (S 6,19,19) (D 0,1,1)
 0 1 11 36 42  6 (D 0,1,1) (S 15,3,3) (S 40,3,2) (S 20,2,2) (S 47,2,1) (D 0,1,1)
