532
11
1748014338
 0 1 1 8 18  3 (D 0,1,1) (S 39,1,17) (D 0,1,1)
 0 1 2 26 55  6 (D 0,1,1) (S 34,13,14) (S 6,18,18) (S 22,18,21) (S 26,21,25) (D 0,1,1)
 0 1 3 25 62  8 (D 0,1,1) (S 28,1,15) (S 30,15,20) (S 13,21,21) (S 17,21,23) (S 40,23,26) (S 15,26,27) (D 0,1,1)
 0 1 4 25 56  6 (D 0,1,1) (S 41,3,6) (S 8,6,6) (S 35,6,7) (S 19,6,8) (D 0,1,1)
 0 1 5 20 36  4 (D 0,1,1) (S 4,24,24) (S 5,8,8) (D 0,1,1)
 0 1 6 24 48  5 (D 0,1,1) (S 25,1,27) (S 23,22,23) (S 14,23,23) (D 0,1,1)
 0 1 7 24 35  4 (D 0,1,1) (S 21,10,11) (S 11,5,5) (D 0,1,1)
 0 1 8 25 33  4 (D 0,1,1) (S 3,4,4) (S 16,4,19) (D 0,1,1)
 0 1 9 27 71  7 (D 0,1,1) (S 12,16,16) (S 1,14,14) (S 27,14,20) (S 31,20,21) (S 20,12,19) (D 0,1,1)
 0 1 10 27 47  6 (D 0,1,1) (S 9,2,2) (S 33,12,13) (S 7,13,13) (S 18,15,17) (D 0,1,1)
 0 1 11 27 45  5 (D 0,1,1) (S 2,3,3) (S 36,3,4) (S 10,19,19) (D 0,1,1)
