625
11
0
0
0 1 1 23 55 6 (D 1,1,1) (S 1,2,2) (S 12,1,3) (S 13,1,27) (S 14,2,12) (D 1,1,1)
0 1 2 27 35 4 (D 1,1,1) (S 2,4,4) (S 22,1,19) (D 1,1,1)
0 1 3 24 69 7 (D 1,1,1) (S 3,6,6) (S 30,6,7) (S 31,6,8) (S 4,7,7) (S 29,5,9) (D 1,1,1)
0 1 4 17 43 6 (D 1,1,1) (S 5,8,8) (S 15,8,24) (S 11,24,24) (S 21,1,17) (D 1,1,1)
0 1 5 24 76 6 (D 1,1,1) (S 6,14,14) (S 39,14,16) (S 37,13,14) (S 7,16,16) (D 1,1,1)
0 1 6 25 69 7 (D 1,1,1) (S 8,20,20) (S 9,21,21) (S 17,21,25) (S 16,18,21) (S 41,15,20) (D 1,1,1)
0 1 7 26 55 6 (D 1,1,1) (S 10,22,22) (S 42,18,25) (S 46,25,26) (S 19,26,27) (D 1,1,1)
0 1 8 25 57 6 (D 1,1,1) (S 18,23,24) (S 45,24,27) (S 33,8,27) (S 20,1,15) (D 1,1,1)
0 1 9 21 45 8 (D 1,1,1) (S 23,3,4) (S 35,12,13) (S 26,4,10) (S 28,5,6) (S 27,4,19) (S 36,12,19) (D 1,1,1)
0 1 10 24 59 6 (D 1,1,1) (S 24,3,6) (S 32,6,10) (S 34,10,11) (S 25,3,8) (D 1,1,1)
0 1 11 22 62 6 (D 1,1,1) (S 38,13,15) (S 40,15,17) (S 43,21,23) (S 44,23,26) (D 1,1,1)
